Заголовок;Текст;Прогноз
Глава Республики Алтай госпитализирован в Москве;"Глава Республики Алтай Олег Хорохордин во время рабочей поездки в Москву был госпитализирован в одну из клиник с ухудшением состояния здоровья, сообщил в среду ""Интерфаксу"" пресс-секретарь высокопоставленного чиновника Михаил Максимов. ""Мы подтверждаем информацию о госпитализации Олега Леонидовича. Не достоверна информация о том, что он находится в реанимации и то, что он госпитализирован из-за проблем с алкоголем - это вброс. Диагноз не называем по понятным причинам, но речь идет о проблемах с желудком"", - сказал собеседник агентства. Пока неизвестно, сколько глава региона пробудет в больнице. На период его командировки исполняющим обязанности главы региона назначен первый заместитель председателя правительства Виталий Махалов. ""Его назначение никак не связано с госпитализацией главы. Всегда на период отсутствия главы региона, в том числе с целью командировки, назначается исполняющий его обязанности"", - подчеркнул Максимов.";0
Twitter, Warcraft и «темные кухни»: 10 крупнейших сделок 2022 года в мире;В этом году объем слияний и поглощений в мире оказался на 35% меньше, чем в рекордном 2021-м. Крупнейшие сделки были инициированы Microsoft, Broadcom и Илоном Маском. Топ-10 замыкает новая покупка Johnson & Johnson на $19 млрд. После 2021-го, который глобальный рынок слияний и поглощений завершил с рекордными $5,7 трлн, этот год ознаменовался охлаждением: сделок было меньше, а общая сумма — скромнее. По оценке Refinitiv, в первом полугодии объем объявленных сделок сократился на 34%, до $2,81 трлн. Такого падения не было с 2009 года, когда на фоне глобального финансового кризиса рынок M&A просел на 42%. Во втором полугодии ситуация не улучшилась. По оценке WSJ, всего в 2022 году объем объявленных слияний и поглощений снизился на 35%, до $3,55 трлн. Самым активным, как и в прошлом году, оказался сектор высоких технологий ($894 млрд), за ним следуют здравоохранение ($326 млрд), финансы (284 млрд) и недвижимость ($282 млрд). По оценке WSJ, в топ-10 крупнейших сделок вошли следующие. Microsoft покупает разработчика компьютерных игр Activision Blizzard. Microsoft договорилась о приобретении Activision Blizzard за $68,7 млрд еще в январе, за каждую акцию разработчика компьютерных игр она заплатит $95. Сделка станет одной из крупнейших на рынке видеоигр и крупнейшей покупкой в истории Microsoft. В результате к последней перейдут права на культовые игровые франшизы (Warcraft, Diablo и Call of Duty, Starcraft, Overwatch, Candy Crush и др.), а также на проведение киберспортивных состязаний через Major League Gaming. Сделку планировалось закрыть в начале 2023 года, но в начале декабря Федеральная торговая комиссия США (FTC, антимонопольный орган при правительстве США) потребовала ее заблокировать из опасений, что по завершении поглощения Microsoft откажет конкурирующим игровым платформам в доступе к играм. В частности, против этой сделки выступала Sony. Японская компания опасается, что, если Microsoft сделает такие популярные игры, как Call of Duty, эксклюзивом своей игровой платформы Xbox, другие платформы, в том числе PlayStation от Sony, окажутся в невыгодном положении. Broadcom покупает разработчика облачных решений VMWare. Американский производитель чипов Broadcom договорился о поглощении разработчика ПО для облачных решений и виртуализации VMware в минувшем мае. Сделка будет оплачена денежными средствами и акциями. Кроме того, Broadcom возьмет на себя $8 млрд долга VMware. Последняя специализируется на предоставлении «мультиоблачных услуг», виртуализации сетей и систем хранения данных, а также разработке цифрового рабочего пространства. VMware — один из лидеров в индустрии облачных вычислений. Услугами компании пользуются крупные корпорации для управления частными и общедоступными облачными сетями, а также центрами обработки данных. Однако ее акции сильно обвалились в последние годы, что сделало компанию целью для поглощений. Так, с пика в мае 2019-го ($205,52) к моменту объявления сделки бумаги VMware подешевели на 53%, а с начала этого года — на 17,4% (до $95,71). К сделке также есть вопросы у антимонопольных органов. В конце декабря стало известно, что в отношении поглощения в ЕС начато расследование. Илон Маск купил Twitter. Илон Маск в конце октября закрыл сделку по покупке компании Twitter Inc., которая владеет одноименной социальной сетью (в России заблокирована). За каждую акцию Twitter принадлежащая ему структура X Holdings II, Inc. заплатила $54,2. После этого компания стала частной, с 9 ноября ее акции перестали обращаться на Нью-Йоркской бирже. Новый владелец сам много пользуется этой социальной сетью, где у него более 120 млн подписчиков. О том, как продвигается сделка по покупке соцсети, тоже часто можно было узнать из аккаунта Маска раньше, чем из официальных источников или СМИ. Об интересе к покупке соцсети миллиардер заявил в апреле. Он приобрел 9,2% акций Twitter, став одним из крупнейших акционеров, и подал заявку в Комиссию по ценным бумагам и биржам США (SEC) на приобретение всех находящихся в обращении обыкновенных акций компании. «Я инвестировал в Twitter, так как верю, что соцсеть обладает потенциалом стать платформой для распространения свободы слова во всем мире, которая, как я считаю, служит основой демократии», — объяснял Маск. В начале мая Маск нашел инвесторов, готовых помочь с финансированием сделки, но вскоре заявил о ее приостановке, попросив Twitter подтвердить, что доля фейковых аккаунтов в соцсети составляет менее 5%. Сам бизнесмен был уверен, что их не менее 20%. В конце июля один из акционеров Twitter через суд потребовал от Маска завершить сделку и выплатить компенсацию. Тот подал встречный иск и выиграл дело: суд обязал Twitter предоставить дополнительную информацию по спам- и бот-аккаунтам. В начале октября Маск повторил предложение на первоначальных условиях, затем в течение нескольких дней «намекал», что сделка состоялась. 26 октября он посетил офис Twitter в Сан-Франциско и вскоре после этого указал в своем профиле в Twitter, что является Chief Twit (можно перевести как «главный по твитам» либо как «главный кретин»), а в качестве местоположения — штаб-квартиру Twitter. У Маска амбициозные планы по развитию. Он намерен к 2028 году увеличить выручку Twitter в пять раз по сравнению с показателем прошлого года, до $26,4 млрд, а число активных пользователей в день — до 931 млн с 237,8 млн (речь идет о пользователях, которых компания может монетизировать). Индийский HDFC Bank объявил о покупке своего акционера. В апреле HDFC Bank, крупнейший частный банк Индии, объявил о поглощении своего крупнейшего акционера Housing Development Finance Corp. Стоимость поглощаемой компании — $60 млрд, стоимость акций, которые выкупит HDFC Bank, оценивается в $40 млрд. HDFC Bank специализируется на розничном кредитовании, Housing Development Finance — на ипотечном. Результатом объединения станет компания с 68 млн клиентов и рыночной капитализацией свыше $200 млрд. Доля иностранцев в ее капитале составит 65–67%. По данным Refinitiv, это крупнейшее поглощение в глобальном банковском секторе с 2007 года. Американская Amgen покупает производителя лекарств Horizon Therapeutics. Биофармацевтическая компания Amgen Inc. объявила 12 декабря о покупке ирландской Horizon Therapeutics PLC. Сделка, сумма которой составит $27,8 млрд, по данным WSJ, станет крупнейшим поглощением в секторе здравоохранения в этом году. Сделка будет полностью оплачена денежными средствами. По ее условиям американская компания заплатит $116,5 за каждую акцию Horizon, что на 19,7% выше цены закрытия ($97,29) накануне и почти на 50% выше уровня, на котором бумаги торговались в ноябре, когда компания дала понять, что такое поглощение возможно. Акции Horizon торгуются на NASDAQ. Amgen профинансирует сделку за счет бридж-кредита на сумму $28,5 млрд, его организаторами станут Citibank и Bank of America. Horizon разрабатывает для лечения редких аутоиммунных и тяжелых воспалительных заболеваний лекарства, которые продаются в основном в США. Ее флагманский препарат Tepezza используется для лечения глазных воспалений. В прошлом году доходы от его продаж увеличились более чем вдвое, благодаря чему продажи Horizon выросли на 47%, до $3,23 млрд. Компания планирует начать продавать препарат в Европе и Японии. По данным Jefferies & Co, за счет поглощения Horizon американская компания может увеличить годовую выручку к 2024 году на $4 млрд. ProLogis покупает оператора складов Duke Realty. Крупнейший в мире оператор складов ProLogis в мае сделал предложение о покупке за $24 млрд своему конкуренту Duke Realty Corp. Тогда в Duke Realty сочли, что сумма недостаточная, и от слияния отказались. Стороны договорились в июне, когда ProLogis повысила предложение до $26 млрд. По данным Green Street, сделка стала крупнейшей в секторе складской недвижимости с начала пандемии, когда склады и распределительные центры были особенно востребованными. Но в последние месяцы на рынке появились опасения, что сектор демонстрирует признаки перенасыщения. Например, Amazon.com решила отказаться от части складских площадей, переоценив будущий спрос. ProLogis, представленная в 19 странах, обслуживает 5,8 тыс. клиентов. Ежегодно через ее склады проходят товары на $2,2 трлн. Поглощение Duke Realty добавит к базе еще 500 клиентов и позволит упрочить позиции на ключевых рынках в США, в том числе в Южной Калифорнии, Нью-Джерси, Южной Флориде, а также в Чикаго, Далласе и Атланте. В октябре сделка была закрыта. Blackstone продает инвесторам логистическую компанию Mileway. Американская Blackstone Inc., управляющая множеством фондов прямых инвестиций, продает своим же инвесторам один из проектов — логистическую Mileway за $23,81 млрд. Mileway — это нидерландская компания, владеющая складами и dark kitchen («темными кухнями»), расположенными рядом с крупными городами. Складами пользуются онлайн-ретейлеры, например Amazon.com, а на кухнях готовят еду, которую потом по заказам с сайта развозят курьеры. Mileway была учреждена в 2019 году: европейские фонды недвижимости Blackstone объединили в ней примерно 1 тыс. активов. Тогда компания оценивалась в €8 млрд, а в сентябрьской сделке по продаже инвесторам — в €21 млрд (примерно $24 млрд). Обычно фонды Blackstone продают бизнес стороннему покупателю или проводят IPO, а вырученные средства возвращают своим инвесторам. Но в случае с Mileway инвесторы хотели остаться в этом бизнесе. Фонды Blackstone управляют активами в недвижимости на $448 млрд. Ретейлер Kroger покупает супермаркеты Albertsons. В октябре о готовящемся слиянии сообщили два крупнейших продуктовых ретейлера США — Kroger (второе место после Walmart) и Albertsons (четвертое место, лидирует Costco). Kroger согласилась заплатить $34,10 за каждую акцию Albertsons, сумма сделки с учетом долга составит $24,77 млрд. Доля Kroger на рынке продовольственного ретейла США составляет 9,9%, Albertsons — 5,7% (данные Numerator). С совокупной долей 15,6% объединенная компания сможет приблизиться, но не обгонит лидера Walmart (20,9%). В совокупности у Kroger и Albertsons 5 тыс. супермаркетов и магазинов, где работают более 700 тыс. человек. Советы директоров обеих компаний одобрили слияние, но оно еще должно быть утверждено регулирующими органами. Объединение происходит в сложное время для продуктовой индустрии. Супермаркетам приходится конкурировать с онлайн-ретейлом, а также противостоять разогнавшейся инфляции. Adobe покупает стартап Figma. Разработчик программного обеспечения Adobe приобретет стартап Figma примерно за $20 млрд, сделка будет оплачена деньгами и акциями. Компания Figma, основанная в 2012 году, создает облачное программное обеспечение для дизайна, которое позволяет командам работать в режиме реального времени. Она конкурирует с программой XD компании Adobe. В ходе последнего раунда финансирования в прошлом году Figma оценивалась в $10 млрд. Adobe — разработчик знаменитого фоторедактора Adobe Photoshop и графического редактора Adobe Illustrator. Компания основана в 1982 году. Ей принадлежат права на форматы PDF и TTF. Johnson & Johnson покупает производителя медицинских имплантов Abiomed. Крупнейший в мире производитель товаров для здоровья Johnson & Johnson (J&J) в ноябре договорился о покупке за $16 млрд производителя медицинского оборудования Abiomed. Сделка будет оплачена денежными средствами из расчета $380 за каждую акцию Abiomed. Но акционеры последней смогут получить еще по $35 на акцию, если будут достигнуты определенные показатели (не раскрываются). По данным WSJ, с учетом этого сумма сделки может составить до $18,99 млрд. Abiomed производит самое разное медицинское оборудование — от контактных линз до искусственных коленных суставов и эндоваскулярно имплантируемых устройств для вспомогательного кровообращения (вводятся через небольшой разрез на коже в кровеносные сосуды). За финансовый год, завершившийся 31 марта, продажи компании выросли на 22%, до $1,03 млрд.;0
"Глава ""Роснефти"" оценил значение ОПЕК+ для нефтяного рынка";"ОПЕК+ утратила свое значение, а на баланс нефтяного рынка влияют другие факторы, считает глава ""Роснефти"" Игорь Сечин. ""Когда вы взвешиваете все-таки, что влияет больше, - ОПЕК+, я думаю, в целом, уже утратила то значение, которое мы придавали этому. Работают другие факторы: политические факторы, санкционные факторы, это и фактор коронавируса, состояние рынка потребления, стагнации экономики. Но, является ли это драматичным – драматичным не является"", - сказал он в эфире телепрограммы ""Международное обозрение"" на канале Россия 24. Страны ОПЕК+ 6 марта не смогли договориться ни об изменении параметров сделки о сокращении добычи нефти, ни о ее продлении. В частности, Россия предлагала сохранить существующие условия, а Саудовская Аравия - дополнительно сократить добычу нефти. В результате с 1 апреля снимаются ограничения по добыче нефти в странах-участницах прежнего альянса, а некоторые из них уже заявили о планах нарастить добычу.";0
Жители башкирской деревни решили сами отремонтировать проезжую часть улиц;"Жители башкирской деревни благоустраивают проезжую часть улиц сами. Ремонт проезжей части двух улиц в деревне Пушкинское Иглинского района Башкирии сельчане решили начать, не дожидаясь, когда в местном бюджете на это найдутся средства. Они написали коллективное письмо в администрацию Калтымановского сельсовета, в котором сообщили, что готовы взяться за это дело сами и попросили помочь им в меру возможностей. В Пушкинском главное внимание уделялось в основном центральной улице, остальные три приводили в порядок достаточно давно. Дороги в деревне не асфальтированные, а значит, их размывает в любой сильный дождь, а после проезда транспорта остаются глубокие колеи. Мы знали, что в соседней деревне начали ремонтировать дорогу, и подумали: чем мы-то хуже? Наши дороги тоже в ямах и ухабах, и если их не ликвидировать вовремя, то скоро и проехать будет сложно, - рассказывает пенсионерка Любовь Новикова. Она, как тут говорят, дачница. Живет в Уфе, но на лето со всей семьей перебирается в Пушкинское, где родилась сама. Таких, как Любовь Владимировна, здесь немало. Как правило, они активны, инициативны и заряжают своим энтузиазмом остальных. Во всяком случае, на субботники люди выходят охотно и скинуться ради общего блага не отказываются. Сначала мы собрали 50 тысяч рублей, депутат нашего сельского поселения Михаил Лукша привез 20 ""КАМАЗов"" глины, мы подняли самый сложный участок дороги, а тракторист все разровнял. Чтобы дорога проветривалась, мы расчищаем обочины от кустарников и поросли деревьев. Здесь уж от каждого двора люди выходят в свое свободное время. Для отсыпки заказали три машины щебня, нам привезли 75 тонн, собираемся его раскидать. За материал заплатил сельсовет, а за доставку - мы, - объяснила Любовь Владимировна. - Местные власти идут нам навстречу, мы работаем как партнеры. Коллективная работа вызывает у людей в основном положительные эмоции. Причем не только у тех, кто уже привык трудиться. Одному из самых деятельных волонтеров Кириллу Ермилову всего 18 лет. Но, по словам Любови Новиковой, подход к делу и ответственность у него как у взрослого мужчины. Юноша убежден, что делать краше место, где живешь, должно быть нормой для каждого. Главу сельского поселения Калтымановский сельсовет Флориду Мосейчук активная гражданская позиция сельчан только радует. Иначе ремонта дороги им пришлось бы ждать не один год. Кстати, и ответственность у сельчан за дорогу, которую они ремонтировали, гораздо выше.";0
Журналисту Михаилу Афанасьеву продлили стражу до 11 месяцев;Абаканский городской суд продлил заключение под стражей местному журналисту Михаилу Афанасьеву на два месяца, до 17 марта. Об этом сообщила его супруга. Под стражей Афанасьев находится с 14 апреля, обвиняется в распространении недостоверной информации об отказе хакасского ОМОНа от участия в боевых действиях в Украине (часть 2 статьи 207.3 УК РФ). Ему грозит до 10 лет лишения свободы. В обоснование ходатайства о продлении стражи в суде следователь заявил, что ждет ответа из Управления ФСБ по Хакасии, подтверждающего, что ОМОН относится к вооруженным силами РФ. Позиция защиты по делу — с 4 марта по 5 апреля уголовная ответственность за распространение недостоверной информации распространялась только на Вооруженные сила РФ. В соответствии с Указом президента РФ от 5 апреля 2016 г. Отряды мобильные особого назначения включены в структуру Росгвардии, причем их сотрудники не являются военнослужащими. Статью о хакасском ОМОН журналист опубликовал 3 апреля. Позже в статью 207.3 УК РФ были внесены изменения, распространившие ее действия и исполнение другими госорганами РФ своих полномочий за пределами территории РФ. На протяжении 9 месяцев следствие пытается найти способ и натянуть сову на глобус обосновать, почему омоновцы — это военнослужащие российской армии. Для этого понадобилось обратиться в ФСБ за некоей волшебной бумагой и всё это время держать журналиста в СИЗО, потому что иначе окончательное обвинение никак не предъявляется.;0
В море под Новороссийском произошел выброс нефти с греческого танкера;"В Черном море под Новороссийском произошел выброс нефти с греческого танкера Нефтяные танкеры в Черном море - РИА Новости, 1920, 07.08.2021 МОСКВА, 7 авг — РИА Новости. Под Новороссийском за пределами береговой зоны произошел выброс нефти с греческого танкера Minerva Symphony, заявили РИА Новости в Росморречфлоте. ""Количество пока неизвестно"", — добавили в ведомстве. Разлив случился при погрузке с выносного причального устройства, принадлежащего Каспийскому трубопроводному консорциуму (КТК). ""Владелец консорциума создал оперативный штаб, подтянул профессиональные подразделения, которые базируются на терминале, и занимается устранением последствий"", — добавили в Росморречфлоте. Там отметили, что терминал находится в пяти километрах от берега. Пока непонятно, какое количество людей и техники нужно для устранения разлива.";1
Fitch предупредило о возможном понижении рейтингов банков Кипра;"Международное рейтинговое агентство Fitch во вторник поместило рейтинги дефолта эмитента и рейтинги государственной поддержки трех крупнейших кипрских банков - Bank of Cyprus, Hellenic Bank и Marfin Popular Bank Public Co ltd - в список на пересмотр с возможным понижением, сообщается в релизе. МОСКВА, 20 дек - РИА Новости. Международное рейтинговое агентство Fitch во вторник поместило рейтинги дефолта эмитента и рейтинги государственной поддержки трех крупнейших кипрских банков - Bank of Cyprus, Hellenic Bank и Marfin Popular Bank Public Co ltd - в список на пересмотр с возможным понижением, сообщается в релизе. Рейтинговое действие связано с помещением суверенного кредитного рейтинга страны, находящегося на уровне ""BBB/F3"", в список на пересмотр с возможным понижением в минувшую пятницу. Тогда Fitch объявило о возможном понижении суверенных рейтингов сразу семи европейских стран - Франции, Бельгии, Испании, Италии, Словении, Кипра и Ирландии. ""Помещение в список на пересмотр с возможным понижением связано с тем, что в случае понижения суверенного рейтинга Кипра, или если кризис еврозоны уменьшит вероятность предоставления международной поддержки при необходимости, рейтинг государственной поддержки банков и долгосрочный рейтинг дефолта эмитента банков могут быть понижены"", - говорится в релизе. Кроме того, в ноябре международное рейтинговое агентство Moody's Investors Service понизило долгосрочные депозитные и долговые рейтинги Bank of Cyprus, Hellenic Bank и Marfin Popular Bank Public на одну-три ступени, поместив их при этом в список на возможное понижение. Среди причин, повлиявших на решение агентства, Moody's указало понижение суверенного кредитного рейтинга Кипра на две ступени - до ""Baa3"" с ""Baa1"".";0
Кейт Миддлтон впервые появилась на публике после выхода мемуаров принца Гарри;В своей биографии «Запасной» герцог Сассекский подробно рассказывает о своих отношениях и конфликтах с принцем Уильямом и Кейт Миддлтон. Кейт Миддлтон увидели впервые после выхода мемуаров принца Гарри «Запасной». Принцесса Уэльская, отметившая в понедельник свой 41-й день рождения, была замечена за рулем автомобиля возле Виндзорского замка в среду утром. Это первый раз, когда Кейт была замечена с тех пор, как книга Гарри была официально выпущена во вторник. И Кейт, и ее муж, принц Уильям, упоминаются в мемуарах несколько раз, в том числе в рассказе Гарри о том, что в 2018 году у его жены Меган Маркл и его невестки был горячий обмен мнениями после того, как Меган сослалась на «детский мозг» Кейт из-за ее гормонов. Кейт, которая родила своего третьего ребенка принца Луи за месяц до свадьбы герцога и герцогини Сассекских в том же году, подняла разговор с Меган, упрекнув ее, что обсуждение гормонов беременности было слишком личным. В книге герцог Сассекский утверждает, что принц Уильям указал пальцем на Меган, сказав, что она сделала «грубый» комментарий. Меган, в свою очередь, обиделась на выговор. 38-летний Гарри также рассказал в книге, как он чувствовал, что Уильям «ушел — навсегда» после того, как женился на Кейт, сказав, что свадьба 2011 года была похожа на «еще одно прощание». «Брат, которого я сопровождал в Вестминстерское аббатство тем утром, ушел — навсегда», — написал Гарри. «Кто мог отрицать это? Он никогда больше не был бы просто Вилли. Мы никогда больше не будем ездить вместе по сельской местности Лесото, когда позади нас развеваются плащи. Мы никогда больше не будем жить в пропахшем лошадьми коттедже, когда учимся летать. Кто нас разлучит? Жизнь, вот кто». «И я помню, как Вилли вел ее обратно по проходу, и когда они исчезли за дверью, в карете, которая должна была доставить их в Букингемский дворец, в вечное партнерство, которое они друг другу обещали, я помню, как подумал: до свидания», — написал он. Кэтрин и принц Уильям в последние недели держались в тени после празднования Рождества с королевской семьей. Супруги и их трое детей — принц Джордж, принцесса Шарлотта и принц Луи — присоединились к королю Карлу, королеве Камилле и другим членам семьи в Сандрингеме на ежегодной церковной прогулке членов королевской семьи.;0
USM Алишера Усманова продала многопрофильную ИТ-группу «ИКС Холдинг» её основателю Антону Черепенникову;Стороны не раскрывают условия сделки. Черепенникову теперь принадлежит 100% «ИКС Холдинг», пишут «Ведомости» со ссылкой на пресс-службу USM. До этого Черепенников владел только 10% «ЮэСэМ Телеком», в которую входил весь «ИКС Холдинг». У «ЮэСэМ Телеком» остались «Мегафон», группа ИТ-компаний «Форпост», провайдер BSS-решений Nexign и разработчик платформы безопасной монетизации данных OneFactor. В состав «ИКС Холдинга» войдут разработчик серверов и систем хранения данных Yadro, разработчик программ информационной безопасности ГК «Цитадель» и другие. USM договорилась купить «ИКС Холдинг» в конце апреля 2020 года. Сделку провели с помощью обмена долей акций компаний: 80% осталось у USM, еще 10% — у гендиректора USM Ивана Стрешинского. «ИКС Холдинг» занимается инвестициями, управлением и консолидацией на рынке телеком-медиа и технологий.;0
Гендерная боль: коронавирус опаснее для мужчин;Женщины реже умирают от COVID-19 из-за генетики, образа жизни и меньшей социальной активности. Вирусологи выяснили, что коронавирус может быть опаснее для мужчин, чем для женщин. По мнению российских специалистов, преобладание представителей сильного пола среди жертв инфекции связано с двумя причинами: мужская часть популяции более подвержена курению, поэтому в их легких вирус быстрее развивается в атипичную пневмонию. Также возможно существуют генетические предрасположенности к более тяжелому течению болезни. Еще один фактор — меньшая социальная активность женщин, вследствие чего они реже заражаются опасным патогеном. Вирусный сексизм. Как ранее было установлено, наиболее уязвимыми для коронавирусной инфекции являются люди старше 60 лет. Особенно с сопутствующими патологиями: поражением легких (хронические бронхиты, бронхиальная астма и др.) и тяжелыми хроническими заболеваниями (гипертония, ишемия сердца, сахарный диабет). Также в группу риска входят лица с различными формами иммунодефицита: ВИЧ-инфицированные, онкологические больные и пациенты после трансплантации органов. Однако есть тенденция, которая не зависит от возраста и состояния здоровья зараженного COVID-19. Как показывает статистика, вирус чаще убивает мужчин. Национальная комиссия здравоохранения Китая в начале февраля проанализировала половозрастной состав первых 425 умерших в больницах материковой части страны. Выяснилось, что две трети подтвержденных смертей от коронавируса — мужчины. Директор Института медицинской паразитологии, тропических и трансмиссивных заболеваний им. Е.И. Марциновского Сеченовского университета Александр Лукашев сообщил «Известиям», что эти данные следует интерпретировать с осторожностью, поскольку они включают только больных с выраженными клиническими проявлениями. О возможной частоте бессимптомных или легких форм инфекции ученые пока ничего не знают. Однако половая избирательность действительно присуща части патогенов. — Для многих вирусов характерна различная заболеваемость у мужчин и женщин, но причины этого пока не изучены, — отметил специалист. Загадки генетики. В 2016 году ученые Лондонского университета под руководством биолога доктора Франциско Убеды (Francisco Ubeda) высказали мнение, что многие вирусы более опасны для мужчин, чем женщин. Они объяснили это эволюционной стратегией патогенов. Исследователи исходили из того, что женские особи являются более ценным хозяином для вирусов, поскольку болезнетворные инфекции могут передаваться из поколения в поколение — плоду во время беременности и родов и детям в период кормления грудью. Именно из-за этого у женщин более низкие показатели смертности. Ученые также предположили, что гендерные различия относительно серьезности некоторых переносимых патогенных заболеваний обусловлены более сильной иммунной реакцией женщин. Однако это касается не всех вирусов. Например, на половые инфекции данное правило не распространяется. Относительно опасности коронавируса существует две версии. Первая касается распространенности курения среди мужчин. Вследствие этого патоген быстрее развивается в легких в атипичную пневмонию. Вторая гипотеза заключается в том, что есть некие генетические предрасположенности к более тяжелому течению вирусной инфекции, пояснила профессор, заведующая кафедрой инфекционных болезней с курсами эпидемиологии и фтизиатрии Медицинского института РУДН Галина Кожевникова. — Преобладающая доля мужчин среди жертв вирусных инфекций известна науке. Пример — саркома Капоши (злокачественное поражение мягких тканей, вызванное преимущественно вирусом герпеса VIII типа. — «Известия»), — рассказала Галина Кожевникова. — Однако в случае с коронавирусом, эта версия требует серьезного научного обоснования и является лишь гипотезой. Саркома Капоши чаще развивается у людей старше 50 лет, хотя в последние годы отмечается тенденция к снижению возраста заболевших. Мужчины болеют ей в 9–15 раз чаще женщин, причем, вирус еще и «выбирает» определенный типаж — людей средиземноморского происхождения. Почему так происходит, до сих пор загадка для генетиков. По предварительным данным, полученным учеными из Китая, коронавирус нового типа также может быть избирателен этнически. Было высказано предположение, что для входа в клетку вирус использует определенные рецепторы на ее поверхности, которых в пять раз больше у представителей монголоидной расы, чем у других народов. В таком случае шансов заразиться и более тяжело перенести болезнь у жителей Поднебесной гораздо больше. Но пока все эти теории требуют подтверждения. Образ жизни и социальная активность. Ведущие российские вирусологи нашли и другое объяснение тому, что большая часть проанализированных смертей в Ухане приходится на мужское население. Прежде всего это может быть связано с тем, что мужчины в Китае проявляют большую социальную активность. К примеру, чаще общаются и жмут друг другу руки. При этом аналитики не ждут, что эпидемия окажет существенное влияние на инфляцию — Есть предположения, что женщины могли меньше контактировать друг с другом, а также реже обращаться за медицинской помощью, что, в свою очередь, могло отразиться на статистике, — пояснил «Известиям» заведующий инфекционным отделением университетской клиники Hi-Clinic РУДН Данила Коннов. — Разобраться с этим будет возможно позже, когда будут детально изучены эпидемиологические особенности болезни. Однако списать половую избирательность патогена только лишь на статистическую погрешность и социальные контакты нельзя. Стоит учитывать и тот факт, что в силу целого ряда причин средняя продолжительность жизни мужчин в мире также ниже — 67,5 года против 77,6 года у женщин. — То, что две трети тяжелых пациентов с коронавирусом мужчины, вполне закономерно, — подтвердил в разговоре с «Известиями» директор лаборатории геномной инженерии МФТИ (вуза-участник программы «5-100») Павел Волчков. — Инфекционным заболеваниям подвержены люди с ослабленным иммунитетом и хроническими болезнями, а также ведущие нездоровый образ жизни. Мужчины в зоне риска: они больше курят, злоупотребляют алкоголем, зачастую не уделяют внимание своему здоровью. И для Китая данные проблемы весьма актуальны. Мужчины и женщины в этой стране имеют субтильное телосложение, обусловленное генетически, пояснил эксперт. Если представить, что подобная респираторная инфекция получит распространение в регионе, где большинство женщин склонны к полноте и у них есть сопутствующие характерные заболевания (в том числе осложнения на сердце), то процент заболевших по гендерному признаку может быть иным. Без паники. Достоверных данных о том, что больше болеют именно мужчины, пока нет, пояснил в разговоре с «Известиями» член-корреспондент РАН, доктор биологических наук, профессор факультета естественных наук НГУ Сергей Нетёсов. — Практически для всех вирусных инфекций наиболее уязвимы две категории: дети до 5 лет и взрослые после 60, — подчеркнул специалист. — Что касается относительно большей смертности среди мужчин, то я бы назвал это пока не утверждением, а тенденцией. Дело в том, что у нас нет информации о половозрастном составе всех заболевших. Пока ситуация с COVID-19 находится под контролем. В структуре ежегодных вспышек ОРВИ на коронавирусные инфекции различных типов приходится около 10% случаев, отметила заведующая кафедрой инфекционных болезней с курсами эпидемиологии и фтизиатрии Медицинского института Российского университета дружбы народов Галина Кожевникова. — У 80% населения есть антитела к другим штаммам коронавирусов, поэтому контагиозность не является стопроцентной. Вспышка коронавируса имеет летальность около 2%, что значительно ниже MERS (30%) и SARS (9%). Учитывая беспрецедентные противоэпидемические мероприятия, принятые в России, наш прогноз умеренно благоприятный, — заявила эпидемиолог. Число заболевших пневмонией, вызываемой коронавирусом COVID-19, на 12 февраля составило 44 653 человек, смертельный исход зафиксирован в 1113 случаев.;0
